id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
15195,5.66,2.29,616,2110,1495,truck,2,138.00,1.57,0.10,2.76,4.16,1.29,0.00,0
15196,4.13,1.65,621,917,297,car,1,138.49,-14.22,0.14,-14.05,17.51,1.26,0.00,0
15197,4.35,1.69,636,848,213,car,1,136.88,-20.66,0.40,-19.45,35.89,1.84,0.00,0
15198,5.66,2.17,644,2168,1525,truck,2,138.21,1.28,0.05,2.70,3.26,1.35,0.00,0
15199,5.50,1.50,653,673,21,car,2,5.21,7.97,0.14,7.98,0.00,0.00,0.00,0
15200,4.39,1.61,655,1037,383,car,2,138.79,8.17,0.06,10.74,37.46,3.70,-73.58,0
15202,4.31,1.69,665,958,294,car,1,138.26,-15.18,0.11,-14.20,53.06,3.63,-33.09,0
15201,12.30,2.29,665,1169,505,truck,2,133.88,3.76,0.14,7.85,19.54,2.47,0.00,0
15203,3.90,1.69,696,991,296,car,1,138.51,-14.24,0.21,-14.09,30.52,2.15,0.00,0
15204,4.54,1.65,699,1113,415,car,2,138.75,9.43,0.06,9.98,9.94,0.97,-452.99,0
15205,4.31,1.80,709,941,233,car,1,137.53,-18.08,0.06,-17.78,49.46,2.75,0.00,0
15207,5.40,2.66,731,1034,304,truck,1,135.96,-14.46,0.04,-13.55,9.64,0.67,0.00,0
15206,5.59,1.72,736,2267,1532,truck,2,138.71,1.34,0.13,2.70,3.52,1.74,0.00,0
15208,4.05,1.65,740,957,218,car,1,137.01,-19.01,0.50,-18.92,64.46,3.40,0.00,0
15209,5.74,2.29,762,1266,505,truck,2,137.12,7.18,0.10,8.10,11.47,1.41,0.00,0
15210,4.24,1.61,764,1187,424,car,2,138.99,8.87,0.14,9.76,13.61,1.39,0.00,0
15211,4.35,1.76,769,1008,240,car,1,137.44,-17.86,0.14,-17.26,25.01,1.42,0.00,0
15212,10.95,2.46,787,2353,1567,truck,2,135.00,1.49,0.06,2.59,3.49,1.31,0.00,0
15213,3.83,1.52,831,1250,420,car,2,138.82,8.70,0.16,9.92,12.00,1.26,0.00,0
15214,5.59,2.19,831,1334,504,truck,2,137.66,6.48,0.14,8.12,13.76,1.70,0.00,0
15215,4.20,1.61,844,2450,1607,car,2,139.18,0.75,0.13,2.59,2.51,1.43,0.00,1
15216,4.50,1.80,848,1108,261,car,1,138.00,-16.19,0.45,-15.93,76.91,4.88,-41.78,1
15217,4.65,1.76,880,1197,318,car,1,138.69,-13.62,0.08,-13.05,23.70,1.77,-19.44,0
15218,4.50,1.65,894,1316,423,car,2,138.64,7.80,0.14,9.67,10.84,1.19,0.00,0
15219,4.28,1.72,905,1417,513,car,2,138.60,5.91,0.08,8.04,15.45,2.08,0.00,0
15221,4.13,1.69,919,1197,279,car,1,138.09,-15.20,0.17,-14.93,74.81,4.95,0.00,0
15220,5.66,2.32,922,2661,1740,truck,2,137.98,-0.02,0.09,2.38,1.24,0.58,0.00,1
15222,4.05,1.57,946,1463,518,car,2,139.05,5.77,0.08,7.95,5.33,0.71,0.00,0
15223,4.65,1.61,950,1388,439,car,2,138.51,8.03,0.14,9.37,14.47,1.49,0.00,0
15224,4.13,1.61,954,1179,226,car,1,137.27,-19.00,0.30,-18.30,130.61,6.88,0.00,0
15225,14.18,3.00,960,1242,283,truck,1,131.08,-14.13,0.34,-13.40,17.59,1.26,-17.39,0
15226,4.16,1.61,973,2473,1501,car,2,139.16,1.25,0.08,2.75,2.81,1.12,0.00,0
15227,4.09,1.65,975,1285,311,car,1,138.71,-14.77,0.13,-13.52,23.40,1.58,-65.84,0
15228,4.27,1.69,978,1190,213,car,1,137.01,-19.54,0.29,-19.43,3.26,0.17,0.00,1
15229,4.65,1.72,1005,1613,609,car,2,138.94,5.01,0.07,6.81,4.54,0.83,-146.11,0
15230,5.48,2.34,1024,1313,290,truck,1,136.18,-16.85,0.08,-14.39,19.05,1.18,0.00,0
15231,7.73,2.25,1032,2531,1500,truck,2,137.31,1.34,0.07,2.75,1.39,0.75,0.00,3
15232,4.31,1.61,1035,1277,243,car,1,137.31,-18.27,0.42,-17.10,32.29,1.77,-122.63,0
15233,10.73,2.77,1035,1312,278,bus,1,133.42,-14.93,0.62,-14.13,6.45,0.48,0.00,1
15235,4.05,1.61,1071,1348,278,car,1,137.91,-16.02,0.12,-14.99,5.66,0.41,0.00,0
15236,4.05,1.65,1078,1355,278,car,1,138.54,-15.54,0.00,-15.04,15.94,1.05,0.00,1
15237,4.99,1.99,1110,1391,282,truck,1,137.03,-17.40,0.07,-14.89,8.70,0.53,-282.77,0
15238,4.05,1.54,1115,1743,629,car,2,138.73,5.34,0.15,6.62,12.45,2.09,0.00,0
15239,4.61,1.69,1134,2726,1593,truck,2,139.07,0.35,0.11,2.60,2.62,1.36,0.00,0
15240,4.16,1.61,1137,1357,221,car,1,137.72,-19.54,0.43,-18.87,45.19,2.39,0.00,0
15242,4.09,1.61,1161,1391,231,car,1,136.97,-19.81,0.50,-18.00,9.34,0.49,0.00,0
15243,4.13,1.61,1170,1825,656,car,2,138.71,4.70,0.11,6.31,6.90,1.19,0.00,0
15245,4.16,1.65,1182,1572,391,car,2,139.20,6.90,0.14,10.54,66.90,6.20,0.00,0
15246,4.31,1.72,1190,1416,227,car,1,137.06,-20.09,0.31,-18.30,8.89,0.50,0.00,0
15247,5.89,2.51,1196,1466,271,truck,1,135.96,-17.68,0.02,-15.31,30.00,2.00,0.00,0
15248,9.35,2.44,1202,1424,223,bus,1,133.95,-19.11,0.05,-18.21,37.39,2.06,0.00,0
15244,11.39,2.40,1209,1245,37,truck,2,2.51,1.43,-0.08,1.61,22.91,13.50,-19.78,0
15250,4.28,1.69,1233,1469,237,car,1,137.61,-18.34,0.13,-17.55,13.20,0.76,0.00,0
15252,4.13,1.65,1236,1456,221,car,1,136.97,-19.54,0.29,-18.72,20.21,1.11,0.00,0
15251,9.38,2.29,1239,1891,653,bus,2,134.64,4.81,0.14,6.09,4.20,0.77,0.00,0
15253,4.13,1.69,1245,2790,1546,car,2,139.26,0.07,0.12,2.70,1.24,0.69,0.00,0
15255,4.16,1.63,1264,1649,386,car,2,138.64,8.31,0.08,10.72,20.81,2.25,-131.96,0
15254,19.80,2.46,1264,2788,1525,truck,2,125.51,0.27,0.05,2.43,1.72,1.17,0.00,0
15256,4.01,1.61,1276,1610,335,car,1,138.66,-13.35,0.09,-12.49,20.21,1.51,-8.81,0
15257,4.43,1.69,1279,1494,216,car,1,136.88,-21.49,0.32,-19.25,18.38,1.00,0.00,0
15259,4.09,1.71,1289,1538,250,car,1,137.40,-17.01,0.21,-16.57,32.44,1.98,0.00,0
15258,4.05,1.65,1289,2011,723,car,2,139.01,3.29,0.16,5.75,4.31,0.77,0.00,0
15261,3.98,1.50,1306,1696,391,car,2,138.86,7.47,0.08,10.53,9.11,1.03,-30.68,0
15262,5.70,2.49,1313,1631,319,truck,1,136.11,-15.16,0.17,-12.98,4.01,0.33,0.00,0
15263,4.13,1.54,1324,2904,1581,car,2,128.44,0.32,0.07,2.42,4.46,2.42,0.00,1
15264,4.20,1.69,1350,2209,860,car,2,138.73,1.04,0.05,4.82,4.27,0.85,0.00,0
15265,4.84,1.80,1353,1610,258,truck,1,136.35,-17.29,0.21,-16.06,30.64,1.77,0.00,0
15266,3.90,1.72,1359,1611,253,car,1,137.74,-16.53,0.25,-16.38,0.00,0.00,0.00,0
15267,4.24,1.59,1365,1754,390,car,2,138.17,9.25,0.15,10.61,12.97,1.35,0.00,0
15268,4.31,1.65,1387,1641,255,car,1,137.64,-16.50,0.20,-16.28,11.85,0.73,0.00,0
15269,4.16,1.57,1393,2904,1512,car,2,128.03,0.53,0.18,2.54,2.29,0.77,0.00,0
15270,4.01,1.65,1393,1598,206,car,1,136.31,-21.08,0.43,-20.01,62.74,3.10,0.00,0
15272,4.16,1.61,1405,2312,908,car,2,138.96,1.16,0.07,4.57,3.07,0.94,0.00,0
15273,3.83,1.72,1412,1706,295,car,1,137.53,-16.15,0.20,-14.08,25.35,1.99,0.00,0
15271,18.08,2.51,1422,2904,1483,truck,2,110.70,1.07,0.03,2.27,3.94,1.24,0.00,0
15276,3.90,1.72,1436,1732,297,car,1,137.89,-16.43,0.34,-14.01,4.54,0.36,0.00,1
15277,4.09,1.65,1446,1661,216,car,1,137.21,-19.68,0.48,-19.18,32.70,1.66,0.00,0
15278,4.20,1.57,1466,1896,431,car,2,138.71,8.86,0.13,9.63,27.64,2.93,-130.27,0
15279,3.68,1.54,1471,1771,301,car,1,138.43,-14.48,0.27,-13.85,12.94,0.99,0.00,0
15280,10.99,2.44,1478,2396,919,truck,2,134.46,1.34,0.06,4.27,6.19,1.56,0.00,0
15281,4.13,1.65,1499,1736,238,car,1,137.42,-17.79,0.36,-17.48,25.09,1.46,0.00,0
15282,3.94,1.56,1510,1810,301,car,1,138.67,-16.03,0.15,-13.95,79.12,4.94,-260.98,0
15283,4.28,1.69,1513,1948,436,car,2,138.38,8.31,0.06,9.46,10.42,1.13,-403.83,0
15284,4.09,1.65,1551,2516,966,car,2,139.26,0.84,0.14,4.32,2.92,0.75,0.00,0
15285,4.16,1.61,1557,1784,228,car,1,136.88,-19.12,0.28,-18.15,66.94,3.50,0.00,0
